Order_ID,Date,Product,Category,Region,Customer_Type,Quantity,Unit_Price,Revenue,Profit
1001,2026-01-05,Laptop,Electronics,South,New,2,65000,130000,18000
1002,2026-01-08,Smartphone,Electronics,North,Returning,3,30000,90000,12000
1003,2026-01-12,Headphones,Accessories,West,New,5,2500,12500,3500
1004,2026-01-15,Monitor,Electronics,East,Returning,2,12000,24000,5000
1005,2026-01-18,Keyboard,Accessories,South,New,10,1500,15000,4500
1006,2026-01-22,Tablet,Electronics,North,Returning,4,22000,88000,14000
1007,2026-02-02,Mouse,Accessories,West,New,15,800,12000,3000
1008,2026-02-05,Laptop,Electronics,East,Returning,1,70000,70000,10000
1009,2026-02-10,Smartphone,Electronics,South,New,6,28000,168000,22000
1010,2026-02-15,Monitor,Electronics,North,Returning,3,15000,45000,9000
1011,2026-02-20,Keyboard,Accessories,West,New,8,1700,13600,4000
1012,2026-02-25,Headphones,Accessories,East,Returning,12,3000,36000,8000
1013,2026-03-01,Laptop,Electronics,South,Returning,3,68000,204000,30000
1014,2026-03-05,Tablet,Electronics,West,New,5,20000,100000,16000
1015,2026-03-10,Mouse,Accessories,North,Returning,20,900,18000,5000
1016,2026-03-15,Smartphone,Electronics,East,New,4,32000,128000,19000
1017,2026-03-20,Monitor,Electronics,South,Returning,2,14000,28000,6000
1018,2026-03-25,Keyboard,Accessories,North,New,15,1200,18000,4500
1019,2026-04-01,Laptop,Electronics,West,Returning,2,72000,144000,25000
1020,2026-04-05,Headphones,Accessories,East,New,10,2800,28000,7000
